Transaction_ID,Date_ID,Product_ID,Business_Unit_ID,Region_ID,Department_ID,Customer_Segment,Sales_Channel,Units_Sold,Unit_Price,Discount_Amount,Revenue,COGS,Gross_Profit,Gross_Margin_Pct,OPEX,EBITDA,Cash_Inflow,Cash_Outflow,Net_Cashflow
TXN000017,20240106,P001,BU001,REG002,DEP002,Mid-Market,Partner Sales,1,53973.42,4427.62,49545.8,19995.24,29550.56,0.5964,17648.43,11902.13,46326.34,34420.33,11906.01
TXN000018,20240110,P004,BU001,REG001,DEP006,Enterprise,Direct Sales,1,37082.72,5163.97,31918.75,18315.75,13603.0,0.4262,7173.23,6429.77,32744.88,25958.65,6786.23
TXN000019,20240112,P003,BU001,REG003,DEP006,Enterprise,Direct Sales,2,19684.05,4675.36,34692.74,17037.74,17655.0,0.5089,7374.05,10280.95,31364.6,25662.04,5702.56
TXN000020,20240130,P004,BU001,REG002,DEP002,Small Business,Partner Sales,3,38873.19,8847.95,107771.62,50447.75,57323.87,0.5319,35932.72,21391.15,110869.91,83948.07,26921.84
TXN000021,20240123,P002,BU001,REG003,DEP007,Mid-Market,Direct Sales,4,32153.5,10163.39,118450.61,50406.01,68044.6,0.5745,29292.09,38752.51,110774.32,71902.59,38871.73
TXN000022,20240112,P002,BU001,REG001,DEP003,Enterprise,Direct Sales,2,30368.93,6220.36,54517.5,23850.99,30666.51,0.5625,8441.26,22225.25,49914.13,32907.03,17007.1
TXN000023,20240123,P003,BU001,REG004,DEP001,Enterprise,Partner Sales,2,20979.81,6415.15,35544.47,16461.23,19083.24,0.5369,14239.12,4844.12,33785.1,33716.63,68.47
TXN000024,20240123,P004,BU001,REG003,DEP001,Enterprise,Partner Sales,4,37890.18,22116.85,129443.87,70420.97,59022.9,0.456,56886.04,2136.86,120842.15,121135.61,-293.46
TXN000025,20240113,P004,BU001,REG003,DEP001,Enterprise,Partner Sales,3,43063.26,19542.57,109647.21,53950.22,55696.99,0.508,48852.35,6844.64,98844.16,96418.35,2425.81
TXN000026,20240113,P001,BU001,REG001,DEP007,Small Business,Online Sales,4,49989.12,1999.56,197956.92,76254.29,121702.63,0.6148,45942.02,75760.61,188165.15,113005.34,75159.81
TXN000027,20240128,P003,BU001,REG002,DEP002,Enterprise,Direct Sales,4,19979.75,10031.23,69887.77,31315.86,38571.91,0.5519,26262.03,12309.88,61526.42,58214.19,3312.23
TXN000028,20240118,P001,BU001,REG001,DEP006,Enterprise,Partner Sales,4,53767.08,33174.11,181894.21,83403.95,98490.26,0.5415,38392.71,60097.55,167412.88,124146.0,43266.88
TXN000029,20240105,P002,BU001,REG001,DEP007,Mid-Market,Direct Sales,4,29427.52,10033.92,107676.16,49116.38,58559.78,0.5439,29664.54,28895.24,103709.16,83385.99,20323.17
TXN000030,20240123,P004,BU001,REG003,DEP001,Enterprise,Direct Sales,2,39344.16,8963.15,69725.17,34490.57,35234.6,0.5053,31175.22,4059.38,65031.39,68989.44,-3958.05
TXN000031,20240119,P002,BU001,REG003,DEP005,Enterprise,Direct Sales,2,30406.81,7692.99,53120.63,22972.26,30148.37,0.5675,15443.39,14704.98,53905.88,41431.6,12474.28
TXN000032,20240116,P004,BU001,REG004,DEP006,Mid-Market,Partner Sales,2,37619.54,8041.11,67197.97,33839.38,33358.59,0.4964,17187.97,16170.62,60568.51,54147.9,6420.61
TXN000033,20240123,P002,BU001,REG001,DEP001,Mid-Market,Online Sales,1,29141.21,1993.94,27147.27,12749.56,14397.71,0.5304,12167.73,2229.98,28340.51,23657.81,4682.7
TXN000034,20240129,P001,BU001,REG001,DEP001,Small Business,Online Sales,3,47545.67,1426.37,141210.64,57240.96,83969.68,0.5946,62747.53,21222.15,142191.26,121329.42,20861.84
TXN000035,20240111,P002,BU001,REG002,DEP001,Mid-Market,Partner Sales,3,28095.76,8176.14,76111.14,36055.32,40055.82,0.5263,34116.26,5939.56,79423.39,67328.4,12094.99
TXN000036,20240113,P003,BU001,REG001,DEP001,Mid-Market,Partner Sales,4,21171.66,9525.97,75160.67,34331.82,40828.85,0.5432,31794.42,9034.43,76485.55,63875.11,12610.44
TXN000037,20240106,P004,BU001,REG001,DEP001,Mid-Market,Direct Sales,1,40571.72,3255.09,37316.63,16262.45,21054.18,0.5642,14728.48,6325.7,32779.7,33668.2,-888.5
TXN000038,20240121,P003,BU001,REG002,DEP003,Small Business,Online Sales,2,19547.75,760.91,38334.59,16759.39,21575.2,0.5628,6938.08,14637.12,36620.73,24559.56,12061.17
TXN000039,20240113,P004,BU001,REG001,DEP002,Mid-Market,Direct Sales,1,39415.48,3089.72,36325.76,16719.32,19606.44,0.5397,12962.11,6644.33,32111.82,32498.73,-386.91
TXN000040,20240111,P004,BU001,REG002,DEP001,Small Business,Online Sales,4,39561.72,1582.47,156664.41,72260.82,84403.59,0.5388,66877.56,17526.03,158802.17,136826.25,21975.92
TXN000041,20240122,P004,BU001,REG002,DEP007,Mid-Market,Direct Sales,2,40852.15,7337.71,74366.59,35597.62,38768.97,0.5213,18222.43,20546.54,71900.03,54223.03,17677.0
TXN000042,20240113,P003,BU001,REG003,DEP007,Small Business,Partner Sales,1,21365.66,966.72,20398.94,8521.13,11877.81,0.5823,5187.67,6690.14,18413.92,13673.47,4740.45
TXN000043,20240115,P002,BU001,REG003,DEP003,Enterprise,Direct Sales,3,32077.34,10387.61,85844.41,35210.53,50633.88,0.5898,11950.81,38683.07,88927.92,43457.17,45470.75
TXN000044,20240114,P002,BU001,REG001,DEP006,Mid-Market,Partner Sales,4,29479.16,12389.86,105526.78,48915.27,56611.51,0.5365,26844.56,29766.95,92128.81,71770.35,20358.46
TXN000045,20240109,P001,BU001,REG003,DEP002,Enterprise,Direct Sales,4,48634.1,25268.49,169267.91,84104.41,85163.5,0.5031,54927.61,30235.89,162966.49,139800.49,23166.0
TXN000046,20240104,P002,BU001,REG003,DEP001,Mid-Market,Online Sales,1,29765.02,1958.17,27806.85,11783.29,16023.56,0.5762,12062.25,3961.31,27645.8,21782.3,5863.5
TXN000047,20240126,P004,BU001,REG001,DEP008,Mid-Market,Online Sales,2,40434.78,3307.84,77561.72,33319.9,44241.82,0.5704,12482.68,31759.14,66840.34,49754.99,17085.35
TXN000048,20240103,P002,BU001,REG001,DEP007,Small Business,Online Sales,1,29816.73,298.17,29518.56,11442.4,18076.16,0.6124,7330.88,10745.28,28620.35,17360.94,11259.41
TXN000049,20240111,P001,BU001,REG003,DEP003,Small Business,Online Sales,2,51270.03,2895.92,99644.14,42984.28,56659.86,0.5686,16001.83,40658.03,100957.47,55423.12,45534.35
TXN000050,20240121,P003,BU001,REG001,DEP001,Enterprise,Direct Sales,3,20174.08,6426.07,54096.17,25015.25,29080.92,0.5376,22110.88,6970.04,46712.34,49626.84,-2914.5
TXN000051,20240105,P004,BU001,REG001,DEP005,Mid-Market,Online Sales,2,38852.58,2945.54,74759.62,35109.18,39650.44,0.5304,26028.87,13621.57,71204.69,56209.52,14995.17
TXN000052,20240121,P004,BU001,REG001,DEP007,Mid-Market,Online Sales,1,39012.68,1625.0,37387.68,17794.23,19593.45,0.5241,9869.88,9723.57,33712.9,29878.78,3834.12
TXN000053,20240123,P002,BU001,REG003,DEP001,Enterprise,Direct Sales,3,29417.25,10693.96,77557.79,36687.95,40869.84,0.527,31964.61,8905.23,76207.11,71751.55,4455.56
TXN000054,20240121,P002,BU001,REG002,DEP007,Enterprise,Online Sales,1,28054.27,2954.48,25099.79,12142.77,12957.02,0.5162,5785.21,7171.81,21930.58,16381.23,5549.35
TXN000055,20240110,P003,BU001,REG003,DEP007,Enterprise,Direct Sales,1,18931.4,2469.07,16462.33,8067.51,8394.82,0.5099,3838.6,4556.22,17078.19,12362.94,4715.25
TXN000056,20240101,P001,BU001,REG003,DEP001,Mid-Market,Online Sales,1,51784.91,3020.42,48764.49,20665.14,28099.35,0.5762,20375.53,7723.82,50176.01,42121.09,8054.92
TXN000057,20240128,P002,BU001,REG002,DEP002,Mid-Market,Direct Sales,1,29467.66,1974.55,27493.11,11714.39,15778.72,0.5739,10352.64,5426.08,24391.75,23202.82,1188.93
TXN000058,20240111,P001,BU001,REG002,DEP006,Small Business,Online Sales,2,47716.31,954.33,94478.29,42617.91,51860.38,0.5489,24002.09,27858.29,86414.87,70992.91,15421.96
TXN000059,20240125,P004,BU001,REG001,DEP001,Mid-Market,Direct Sales,4,40401.1,12788.76,148815.64,71775.89,77039.75,0.5177,59960.0,17079.75,143983.15,137488.81,6494.34
TXN000060,20240107,P003,BU001,REG001,DEP002,Small Business,Online Sales,4,20817.73,832.71,82438.21,31854.18,50584.03,0.6136,30631.87,19952.16,81911.63,63563.01,18348.62
TXN000061,20240106,P004,BU001,REG002,DEP002,Enterprise,Direct Sales,1,38447.5,4265.26,34182.24,17428.73,16753.51,0.4901,11713.98,5039.53,32081.1,28107.93,3973.17
TXN000062,20240125,P004,BU001,REG002,DEP001,Mid-Market,Direct Sales,1,42091.46,3044.62,39046.84,16461.67,22585.17,0.5784,17223.69,5361.48,34410.35,35014.41,-604.06
TXN000063,20240130,P004,BU001,REG002,DEP005,Enterprise,Online Sales,2,42736.03,6418.19,79053.87,36597.77,42456.1,0.5371,24072.06,18384.04,68842.51,66214.71,2627.8
TXN000064,20240127,P001,BU001,REG003,DEP006,Mid-Market,Partner Sales,3,50779.16,15539.88,136797.6,64042.56,72755.04,0.5318,33805.37,38949.67,143631.06,99560.7,44070.36
TXN000065,20240124,P004,BU001,REG002,DEP001,Small Business,Partner Sales,3,41081.27,8405.37,114838.44,54562.18,60276.26,0.5249,51172.04,9104.22,108071.06,109209.6,-1138.54
TXN000066,20240108,P001,BU001,REG002,DEP008,Small Business,Online Sales,4,46420.61,1856.82,183825.62,79454.5,104371.12,0.5678,23065.27,81305.85,188330.51,101230.65,87099.86
TXN000067,20240129,P002,BU001,REG002,DEP005,Small Business,Partner Sales,2,32138.5,3808.09,60468.91,23327.7,37141.21,0.6142,20050.01,17091.2,57232.32,45599.7,11632.62
TXN000068,20240121,P003,BU001,REG001,DEP001,Enterprise,Direct Sales,1,19655.95,2580.6,17075.35,7820.24,9255.11,0.542,7670.91,1584.2,17663.96,17033.04,630.92
TXN000069,20240106,P002,BU001,REG001,DEP006,Enterprise,Direct Sales,1,32034.72,4161.94,27872.78,11540.4,16332.38,0.586,6105.14,10227.24,24181.08,16447.02,7734.06
TXN000070,20240105,P001,BU001,REG002,DEP001,Enterprise,Partner Sales,1,50631.82,7726.56,42905.26,19312.29,23592.97,0.5499,16960.63,6632.34,37447.88,34113.99,3333.89
TXN000071,20240128,P001,BU001,REG001,DEP008,Enterprise,Partner Sales,1,46036.95,6349.86,39687.09,19185.39,20501.7,0.5166,5970.99,14530.71,41112.91,25354.8,15758.11
TXN000072,20240109,P004,BU001,REG002,DEP007,Mid-Market,Direct Sales,4,37046.67,13755.03,134431.65,73350.04,61081.61,0.4544,32315.24,28766.37,139741.51,105271.69,34469.82
TXN000073,20240124,P002,BU001,REG003,DEP007,Mid-Market,Online Sales,2,30866.01,2446.45,59285.57,23031.06,36254.51,0.6115,13296.25,22958.26,54124.38,36847.3,17277.08
TXN000074,20240105,P002,BU001,REG001,DEP001,Mid-Market,Partner Sales,4,30300.81,11445.52,109757.72,46427.06,63330.66,0.577,45935.62,17395.04,101090.48,84032.93,17057.55
TXN000075,20240109,P004,BU001,REG001,DEP005,Small Business,Direct Sales,3,36969.81,3000.57,107908.86,53934.7,53974.16,0.5002,36173.88,17800.28,101487.21,88383.48,13103.73
TXN000076,20240109,P001,BU001,REG001,DEP001,Mid-Market,Partner Sales,3,51947.68,15381.61,140461.43,61525.87,78935.56,0.562,57182.88,21752.68,131083.15,120678.8,10404.35
TXN000077,20240109,P004,BU001,REG001,DEP001,Small Business,Partner Sales,2,42253.73,4705.58,79801.88,35722.92,44078.96,0.5524,32726.98,11351.98,70864.79,69616.17,1248.62
TXN000078,20240121,P004,BU001,REG002,DEP001,Enterprise,Direct Sales,4,39977.07,17531.88,142376.4,70177.26,72199.14,0.5071,62751.25,9447.89,146601.43,137111.34,9490.09
TXN000079,20240129,P003,BU001,REG002,DEP006,Enterprise,Direct Sales,1,19890.42,2587.17,17303.25,8517.46,8785.79,0.5078,4173.62,4612.17,15584.37,13250.04,2334.33
TXN000080,20240129,P001,BU001,REG003,DEP001,Mid-Market,Direct Sales,1,46043.78,3340.65,42703.13,20660.02,22043.11,0.5162,18813.46,3229.65,42321.13,40590.95,1730.18
TXN000081,20240123,P001,BU001,REG002,DEP005,Small Business,Online Sales,2,52293.2,1045.86,103540.54,40715.05,62825.49,0.6068,32799.92,30025.57,89400.13,77782.41,11617.72
TXN000082,20240107,P002,BU001,REG002,DEP007,Enterprise,Direct Sales,2,29187.44,6143.12,52231.76,25023.78,27207.98,0.5209,14477.52,12730.46,44801.81,40486.94,4314.87
TXN000083,20240130,P003,BU001,REG003,DEP001,Mid-Market,Direct Sales,3,21212.04,4935.16,58700.96,24195.87,34505.09,0.5878,25185.51,9319.58,57570.74,49751.82,7818.92
TXN000084,20240117,P001,BU001,REG001,DEP001,Mid-Market,Direct Sales,3,48984.48,10598.07,136355.37,59699.3,76656.07,0.5622,54126.8,22529.27,125147.39,116243.69,8903.7
TXN000085,20240117,P002,BU001,REG001,DEP001,Enterprise,Direct Sales,3,30312.37,10436.94,80500.17,36388.61,44111.56,0.548,35670.07,8441.49,78978.06,66311.18,12666.88
TXN000086,20240122,P001,BU001,REG001,DEP007,Enterprise,Direct Sales,2,48162.73,10541.85,85783.61,38882.51,46901.1,0.5467,21390.65,25510.45,74529.16,57538.65,16990.51
TXN000087,20240124,P003,BU001,REG003,DEP006,Small Business,Online Sales,2,18913.88,776.46,37051.3,16856.87,20194.43,0.545,8095.65,12098.78,38532.25,25089.26,13442.99
TXN000088,20240130,P001,BU001,REG002,DEP001,Mid-Market,Online Sales,4,52199.26,14031.19,194765.85,78711.32,116054.53,0.5959,77743.01,38311.52,194707.98,168125.42,26582.56
TXN000089,20240119,P003,BU001,REG001,DEP006,Enterprise,Direct Sales,1,19989.09,2397.04,17592.05,7759.67,9832.38,0.5589,4420.04,5412.34,18036.31,12615.87,5420.44
TXN000090,20240119,P001,BU001,REG002,DEP001,Small Business,Online Sales,3,50291.9,2371.76,148503.94,58921.55,89582.39,0.6032,58338.64,31243.75,130281.63,107654.42,22627.21
TXN000091,20240124,P001,BU001,REG001,DEP006,Enterprise,Direct Sales,3,53723.33,21707.48,139462.51,63568.15,75894.36,0.5442,31685.27,44209.09,127473.22,97011.32,30461.9
TXN000092,20240108,P001,BU001,REG003,DEP005,Small Business,Online Sales,4,53708.64,6434.98,208399.58,79434.09,128965.49,0.6188,62183.78,66781.71,192492.2,133736.5,58755.7
TXN000093,20240110,P004,BU001,REG002,DEP006,Enterprise,Partner Sales,3,42276.11,18331.85,108496.48,52998.51,55497.97,0.5115,25655.58,29842.39,103878.28,82335.36,21542.92
TXN000094,20240120,P001,BU001,REG001,DEP007,Mid-Market,Partner Sales,2,47500.87,10981.36,84020.38,42453.33,41567.05,0.4947,20573.33,20993.72,76405.92,67154.16,9251.76
TXN000095,20240102,P002,BU001,REG001,DEP006,Enterprise,Direct Sales,2,30452.51,8304.05,52600.97,23042.56,29558.41,0.5619,12693.28,16865.13,45348.67,36403.79,8944.88
TXN000096,20240110,P003,BU001,REG002,DEP001,Enterprise,Direct Sales,2,21210.07,5584.95,36835.19,16791.25,20043.94,0.5442,14983.75,5060.19,34027.45,32355.61,1671.84
TXN000097,20240123,P003,BU001,REG001,DEP001,Small Business,Partner Sales,2,19598.28,2290.54,36906.02,15839.94,21066.08,0.5708,14464.3,6601.78,33249.0,29325.97,3923.03
TXN000098,20240131,P003,BU001,REG001,DEP001,Enterprise,Direct Sales,1,18723.54,1933.13,16790.41,7825.29,8965.12,0.5339,7167.21,1797.91,15567.8,14831.33,736.47
TXN000099,20240117,P004,BU001,REG001,DEP002,Enterprise,Partner Sales,3,41990.16,15196.1,110774.38,53017.42,57756.96,0.5214,37931.7,19825.26,98521.84,97572.19,949.65
TXN000100,20240113,P002,BU001,REG004,DEP007,Enterprise,Direct Sales,1,29912.47,3562.22,26350.25,12819.28,13530.97,0.5135,6826.83,6704.14,23777.92,20523.59,3254.33
TXN000101,20240114,P004,BU001,REG004,DEP007,Mid-Market,Partner Sales,3,40412.11,12096.06,109140.27,50405.98,58734.29,0.5382,24722.46,34011.83,106454.38,75425.25,31029.13
TXN000102,20240122,P002,BU001,REG003,DEP005,Small Business,Online Sales,4,32314.29,1292.57,127964.59,49149.52,78815.07,0.6159,37215.51,41599.56,118703.89,84089.01,34614.88
TXN000103,20240117,P004,BU001,REG001,DEP001,Small Business,Online Sales,4,40686.15,2071.2,160673.4,67162.13,93511.27,0.582,65056.28,28454.99,147671.17,120328.79,27342.38
TXN000104,20240101,P003,BU001,REG004,DEP007,Enterprise,Direct Sales,1,19759.93,2412.42,17347.51,8176.46,9171.05,0.5287,4291.65,4879.4,16597.77,11577.91,5019.86
TXN000105,20240117,P003,BU001,REG003,DEP001,Enterprise,Direct Sales,4,19583.95,10455.05,67880.75,32986.95,34893.8,0.514,28078.49,6815.31,68177.53,57316.33,10861.2
TXN000106,20240113,P004,BU001,REG003,DEP001,Enterprise,Direct Sales,1,39472.76,4118.84,35353.92,17498.84,17855.08,0.505,15506.87,2348.21,32729.73,32169.9,559.83
TXN000107,20240122,P004,BU001,REG002,DEP007,Mid-Market,Direct Sales,2,37557.75,5183.5,69932.0,35056.07,34875.93,0.4987,16970.42,17905.51,67659.48,56647.94,11011.54
TXN000108,20240128,P004,BU001,REG001,DEP008,Small Business,Online Sales,1,41886.4,909.78,40976.62,16448.53,24528.09,0.5986,5811.57,18716.52,42748.47,22283.04,20465.43
TXN000109,20240130,P003,BU001,REG001,DEP007,Mid-Market,Partner Sales,1,21080.69,2401.37,18679.32,8321.28,10358.04,0.5545,4774.64,5583.4,17827.47,12401.42,5426.05
TXN000110,20240119,P001,BU001,REG004,DEP001,Mid-Market,Partner Sales,1,48275.18,5783.03,42492.15,20754.35,21737.8,0.5116,16627.6,5110.2,43850.18,34434.38,9415.8
TXN000111,20240112,P002,BU001,REG002,DEP007,Enterprise,Direct Sales,1,29058.22,3920.43,25137.79,12464.84,12672.95,0.5041,6307.27,6365.68,25357.36,18165.04,7192.32
TXN000112,20240114,P001,BU001,REG001,DEP001,Small Business,Direct Sales,4,52994.67,11785.16,200193.52,76770.33,123423.19,0.6165,82217.45,41205.74,172515.51,169027.24,3488.27
TXN000113,20240106,P004,BU001,REG001,DEP005,Mid-Market,Partner Sales,1,36953.41,3420.92,33532.49,17137.51,16394.98,0.4889,10572.02,5822.96,31380.37,27063.03,4317.34
TXN000114,20240130,P001,BU001,REG002,DEP007,Enterprise,Partner Sales,2,50163.66,13651.18,86676.14,40126.98,46549.16,0.537,19590.3,26958.86,85780.23,62971.94,22808.29
TXN000115,20240127,P001,BU001,REG001,DEP001,Enterprise,Direct Sales,3,49709.41,16511.99,132616.24,57676.35,74939.89,0.5651,57949.22,16990.67,138894.61,122625.66,16268.95
TXN000116,20240127,P001,BU001,REG003,DEP001,Enterprise,Partner Sales,4,51521.01,29728.03,176356.01,78312.63,98043.38,0.5559,78750.76,19292.62,166070.09,144838.23,21231.86
TXN000117,20240111,P003,BU001,REG003,DEP001,Enterprise,Online Sales,4,18922.85,8140.78,67550.62,32234.4,35316.22,0.5228,26435.0,8881.22,58671.57,59944.4,-1272.83
TXN000118,20240110,P003,BU001,REG003,DEP008,Enterprise,Direct Sales,1,20538.66,2337.0,18201.66,8372.62,9829.04,0.54,2658.94,7170.1,17517.31,12044.47,5472.84
TXN000119,20240127,P004,BU001,REG002,DEP002,Mid-Market,Partner Sales,4,39211.1,16042.06,140802.34,66695.63,74106.71,0.5263,51509.81,22596.9,123246.08,115891.88,7354.2
TXN000120,20240117,P002,BU001,REG002,DEP006,Mid-Market,Direct Sales,3,30569.83,6589.51,85119.98,38083.23,47036.75,0.5526,19329.76,27706.99,85145.85,52256.66,32889.19
TXN000121,20240122,P002,BU001,REG002,DEP007,Enterprise,Direct Sales,1,27792.46,2968.01,24824.45,12251.45,12573.0,0.5065,6634.42,5938.58,23621.34,20484.76,3136.58
TXN000122,20240116,P001,BU001,REG002,DEP007,Enterprise,Direct Sales,2,49693.82,10714.73,88672.91,41954.19,46718.72,0.5269,22872.41,23846.31,88201.73,69800.96,18400.77
TXN000123,20240114,P001,BU001,REG001,DEP001,Small Business,Online Sales,4,50178.01,2007.12,198704.92,80914.58,117790.34,0.5928,88572.67,29217.67,203448.48,170237.79,33210.69
TXN000124,20240120,P002,BU001,REG002,DEP003,Mid-Market,Online Sales,2,28628.77,3891.89,53365.65,24357.49,29008.16,0.5436,10078.65,18929.51,52073.65,34796.02,17277.63
TXN000125,20240126,P004,BU001,REG001,DEP001,Mid-Market,Direct Sales,1,37693.59,2869.05,34824.54,17519.58,17304.96,0.4969,13670.05,3634.91,33866.44,29391.49,4474.95
TXN000126,20240111,P003,BU001,REG002,DEP007,Enterprise,Partner Sales,4,19003.12,11657.64,64354.84,34260.36,30094.48,0.4676,15876.1,14218.38,64413.66,53339.69,11073.97
TXN000127,20240126,P004,BU001,REG001,DEP007,Small Business,Partner Sales,4,39002.5,10492.17,145517.83,68947.62,76570.21,0.5262,36789.71,39780.5,148208.6,105707.72,42500.88
TXN000128,20240108,P001,BU001,REG001,DEP007,Enterprise,Direct Sales,4,46774.48,20146.11,166951.81,81498.04,85453.77,0.5118,38199.34,47254.43,170927.06,108538.66,62388.4
TXN000129,20240113,P001,BU001,REG001,DEP003,Enterprise,Direct Sales,4,53578.56,22935.59,191378.65,82260.77,109117.88,0.5702,28740.7,80377.18,164066.24,115064.46,49001.78
TXN000130,20240129,P004,BU001,REG002,DEP001,Small Business,Direct Sales,4,39391.96,8269.09,149298.75,71119.63,78179.12,0.5236,67073.78,11105.34,143511.64,150644.53,-7132.89
TXN000131,20240130,P001,BU001,REG001,DEP002,Mid-Market,Online Sales,2,52471.76,4259.5,100684.02,38373.62,62310.4,0.6189,32316.94,29993.46,89936.39,75344.13,14592.26
TXN000132,20240129,P001,BU001,REG004,DEP002,Mid-Market,Direct Sales,1,53795.34,5192.94,48602.4,20340.79,28261.61,0.5815,16872.35,11389.26,49675.02,35554.91,14120.11
TXN000133,20240110,P002,BU001,REG002,DEP002,Mid-Market,Direct Sales,3,27987.53,5508.13,78454.46,36453.85,42000.61,0.5354,29072.03,12928.58,76860.23,59672.13,17188.1
TXN000134,20240127,P004,BU001,REG001,DEP001,Mid-Market,Online Sales,1,40970.68,2339.77,38630.91,18186.92,20443.99,0.5292,15816.81,4627.18,36082.99,36998.45,-915.46
TXN000135,20240130,P003,BU001,REG002,DEP001,Enterprise,Direct Sales,2,21188.51,5618.3,36758.72,16226.49,20532.23,0.5586,15394.11,5138.12,32627.81,34384.64,-1756.83
TXN000136,20240131,P001,BU001,REG001,DEP001,Enterprise,Partner Sales,3,51073.88,19828.45,133393.19,60652.9,72740.29,0.5453,59851.22,12889.07,122428.9,121285.36,1143.54
TXN000137,20240101,P004,BU001,REG004,DEP001,Enterprise,Direct Sales,4,39545.77,17565.96,140617.12,73105.85,67511.27,0.4801,58847.23,8664.04,139317.19,135708.92,3608.27
TXN000138,20240124,P004,BU001,REG002,DEP002,Enterprise,Direct Sales,2,39558.89,10964.2,68153.58,34291.55,33862.03,0.4968,22344.51,11517.52,60716.11,56212.42,4503.69
TXN000139,20240131,P004,BU001,REG003,DEP007,Small Business,Online Sales,2,37029.75,740.6,73318.9,33099.51,40219.39,0.5486,16357.69,23861.7,63693.34,48663.56,15029.78
TXN000140,20240124,P004,BU001,REG001,DEP007,Enterprise,Direct Sales,3,40221.44,14141.65,106522.67,49888.15,56634.52,0.5317,29477.49,27157.03,109463.31,73325.1,36138.21
TXN000141,20240108,P001,BU001,REG002,DEP002,Mid-Market,Direct Sales,1,53948.34,4170.24,49778.1,19247.49,30530.61,0.6133,16722.88,13807.73,49919.57,33069.38,16850.19
TXN000142,20240124,P004,BU001,REG002,DEP002,Mid-Market,Partner Sales,3,42935.73,11608.28,117198.91,48453.77,68745.14,0.5866,41048.2,27696.94,104302.22,84717.77,19584.45
TXN000143,20240104,P002,BU001,REG004,DEP001,Mid-Market,Partner Sales,3,27793.92,9258.01,74123.75,36221.51,37902.24,0.5113,29311.65,8590.59,67338.63,69945.39,-2606.76
