Budget_ID,Date_ID,Product_ID,Business_Unit_ID,Region_ID,Department_ID,Budget_Category,Budget_Amount,Forecast_Amount,Scenario,Budget_Version
BUD000055,20240101,P009,BU003,REG002,DEP001,Revenue,6351740.83,6033849.03,Base,Original
BUD000056,20240101,P009,BU003,REG002,DEP006,COGS,2313838.57,2427824.91,Base,Original
BUD000057,20240101,P009,BU003,REG002,DEP005,OPEX,1841377.58,1936572.47,Base,Original
BUD000058,20240101,P009,BU003,REG002,DEP003,EBITDA,1775143.22,1671799.75,Base,Original
BUD000059,20240101,P009,BU003,REG002,DEP003,Cash Inflow,5968301.48,5722863.68,Base,Original
BUD000060,20240101,P009,BU003,REG002,DEP003,Cash Outflow,4092742.9,4465709.2,Base,Original
BUD000061,20240101,P009,BU003,REG003,DEP001,Revenue,3831429.42,4296877.08,Base,Original
BUD000062,20240101,P009,BU003,REG003,DEP006,COGS,1760080.52,1712353.59,Base,Original
BUD000063,20240101,P009,BU003,REG003,DEP005,OPEX,1342831.39,1467412.56,Base,Original
BUD000064,20240101,P009,BU003,REG003,DEP003,EBITDA,1029122.83,1062431.11,Base,Original
BUD000065,20240101,P009,BU003,REG003,DEP003,Cash Inflow,3586758.92,3970495.95,Base,Original
BUD000066,20240101,P009,BU003,REG003,DEP003,Cash Outflow,3079005.77,3224835.64,Base,Original
BUD000067,20240101,P009,BU003,REG004,DEP001,Revenue,1809241.06,1872930.02,Base,Original
BUD000068,20240101,P009,BU003,REG004,DEP006,COGS,778801.76,780624.38,Base,Original
BUD000069,20240101,P009,BU003,REG004,DEP005,OPEX,599814.04,646418.67,Base,Original
BUD000070,20240101,P009,BU003,REG004,DEP003,EBITDA,445888.52,426868.09,Base,Original
BUD000071,20240101,P009,BU003,REG004,DEP003,Cash Inflow,1674632.02,1720673.21,Base,Original
BUD000072,20240101,P009,BU003,REG004,DEP003,Cash Outflow,1330542.52,1418304.54,Base,Original
BUD000073,20240101,P013,BU004,REG001,DEP001,Revenue,6550369.11,7377446.25,Base,Original
BUD000074,20240101,P013,BU004,REG001,DEP006,COGS,3109924.03,3143003.64,Base,Original
BUD000075,20240101,P013,BU004,REG001,DEP005,OPEX,2228009.09,2406159.56,Base,Original
BUD000076,20240101,P013,BU004,REG001,DEP003,EBITDA,1844122.29,1981554.0,Base,Original
BUD000077,20240101,P013,BU004,REG001,DEP003,Cash Inflow,6234193.34,7170436.23,Base,Original
BUD000078,20240101,P013,BU004,REG001,DEP003,Cash Outflow,5149268.74,5631771.92,Base,Original
BUD000079,20240101,P013,BU004,REG002,DEP001,Revenue,3579374.84,3969031.44,Base,Original
BUD000080,20240101,P013,BU004,REG002,DEP006,COGS,1644887.4,1527834.9,Base,Original
BUD000081,20240101,P013,BU004,REG002,DEP005,OPEX,1224640.11,1346044.36,Base,Original
BUD000082,20240101,P013,BU004,REG002,DEP003,EBITDA,1045695.21,1099745.14,Base,Original
BUD000083,20240101,P013,BU004,REG002,DEP003,Cash Inflow,3554315.19,3700952.85,Base,Original
BUD000084,20240101,P013,BU004,REG002,DEP003,Cash Outflow,2719624.47,2817561.14,Base,Original
BUD000085,20240101,P013,BU004,REG003,DEP001,Revenue,2121620.85,2491543.89,Base,Original
BUD000086,20240101,P013,BU004,REG003,DEP006,COGS,935989.13,984075.52,Base,Original
BUD000087,20240101,P013,BU004,REG003,DEP005,OPEX,795035.85,865585.8,Base,Original
BUD000088,20240101,P013,BU004,REG003,DEP003,EBITDA,557920.63,625007.08,Base,Original
BUD000089,20240101,P013,BU004,REG003,DEP003,Cash Inflow,2060409.18,2399917.52,Base,Original
BUD000090,20240101,P013,BU004,REG003,DEP003,Cash Outflow,1716188.78,1824351.49,Base,Original
BUD000091,20240101,P013,BU004,REG004,DEP001,Revenue,836830.16,984416.46,Base,Original
BUD000092,20240101,P013,BU004,REG004,DEP006,COGS,405817.97,401658.18,Base,Original
BUD000093,20240101,P013,BU004,REG004,DEP005,OPEX,273740.58,311715.31,Base,Original
BUD000094,20240101,P013,BU004,REG004,DEP003,EBITDA,248595.83,245699.71,Base,Original
BUD000095,20240101,P013,BU004,REG004,DEP003,Cash Inflow,813671.34,871127.18,Base,Original
BUD000096,20240101,P013,BU004,REG004,DEP003,Cash Outflow,701114.9,721854.36,Base,Original
BUD000097,20240201,P001,BU001,REG001,DEP001,Revenue,6814803.42,6967894.08,Base,Original
BUD000098,20240201,P001,BU001,REG001,DEP006,COGS,3111796.6,3272668.34,Base,Original
BUD000099,20240201,P001,BU001,REG001,DEP002,OPEX,2170676.43,2307231.24,Base,Original
BUD000100,20240201,P001,BU001,REG001,DEP003,EBITDA,1596858.04,1577591.89,Base,Original
BUD000101,20240201,P001,BU001,REG001,DEP003,Cash Inflow,6720653.98,6795305.22,Base,Original
BUD000102,20240201,P001,BU001,REG001,DEP003,Cash Outflow,5457157.1,5543834.82,Base,Original
BUD000103,20240201,P001,BU001,REG002,DEP001,Revenue,4565185.17,4374362.49,Base,Original
BUD000104,20240201,P001,BU001,REG002,DEP006,COGS,2086461.33,2055341.99,Base,Original
BUD000105,20240201,P001,BU001,REG002,DEP002,OPEX,1366843.98,1443332.34,Base,Original
BUD000106,20240201,P001,BU001,REG002,DEP003,EBITDA,995164.25,929871.51,Base,Original
BUD000107,20240201,P001,BU001,REG002,DEP003,Cash Inflow,4150204.84,4084336.84,Base,Original
BUD000108,20240201,P001,BU001,REG002,DEP003,Cash Outflow,3280451.55,3464265.61,Base,Original
BUD000109,20240201,P001,BU001,REG003,DEP001,Revenue,2880655.18,3169530.86,Base,Original
BUD000110,20240201,P001,BU001,REG003,DEP006,COGS,1476687.03,1465267.74,Base,Original
BUD000111,20240201,P001,BU001,REG003,DEP002,OPEX,1008706.8,1046189.44,Base,Original
BUD000112,20240201,P001,BU001,REG003,DEP003,EBITDA,634238.74,643503.27,Base,Original
BUD000113,20240201,P001,BU001,REG003,DEP003,Cash Inflow,2799520.91,3076730.7,Base,Original
BUD000114,20240201,P001,BU001,REG003,DEP003,Cash Outflow,2397704.86,2553266.27,Base,Original
BUD000115,20240201,P001,BU001,REG004,DEP001,Revenue,2067201.93,2128787.07,Base,Original
BUD000116,20240201,P001,BU001,REG004,DEP006,COGS,1009765.41,951009.91,Base,Original
BUD000117,20240201,P001,BU001,REG004,DEP002,OPEX,624203.71,699138.5,Base,Original
BUD000118,20240201,P001,BU001,REG004,DEP003,EBITDA,493103.94,474955.96,Base,Original
BUD000119,20240201,P001,BU001,REG004,DEP003,Cash Inflow,1822878.89,1906995.32,Base,Original
BUD000120,20240201,P001,BU001,REG004,DEP003,Cash Outflow,1531945.07,1683163.21,Base,Original
BUD000121,20240201,P005,BU002,REG001,DEP001,Revenue,7987490.97,8691536.45,Base,Original
BUD000122,20240201,P005,BU002,REG001,DEP006,COGS,4040182.05,4088110.84,Base,Original
BUD000123,20240201,P005,BU002,REG001,DEP005,OPEX,2839598.87,2937101.74,Base,Original
BUD000124,20240201,P005,BU002,REG001,DEP003,EBITDA,1775590.73,1767132.68,Base,Original
BUD000125,20240201,P005,BU002,REG001,DEP003,Cash Inflow,7541815.19,8275234.76,Base,Original
BUD000126,20240201,P005,BU002,REG001,DEP003,Cash Outflow,6685654.72,6850299.94,Base,Original
BUD000127,20240201,P005,BU002,REG002,DEP001,Revenue,4231015.69,4260507.09,Base,Original
BUD000128,20240201,P005,BU002,REG002,DEP006,COGS,1838271.29,1857277.48,Base,Original
BUD000129,20240201,P005,BU002,REG002,DEP005,OPEX,1415052.61,1515444.39,Base,Original
BUD000130,20240201,P005,BU002,REG002,DEP003,EBITDA,852554.52,809978.54,Base,Original
BUD000131,20240201,P005,BU002,REG002,DEP003,Cash Inflow,4112775.78,3935256.39,Base,Original
BUD000132,20240201,P005,BU002,REG002,DEP003,Cash Outflow,3319308.23,3437158.62,Base,Original
BUD000133,20240201,P005,BU002,REG003,DEP001,Revenue,4364150.7,4809776.88,Base,Original
BUD000134,20240201,P005,BU002,REG003,DEP006,COGS,2323797.75,2157220.47,Base,Original
BUD000135,20240201,P005,BU002,REG003,DEP005,OPEX,1663638.52,1715065.54,Base,Original
BUD000136,20240201,P005,BU002,REG003,DEP003,EBITDA,892284.75,890582.2,Base,Original
BUD000137,20240201,P005,BU002,REG003,DEP003,Cash Inflow,4099338.25,4707635.34,Base,Original
BUD000138,20240201,P005,BU002,REG003,DEP003,Cash Outflow,3793641.61,3989154.06,Base,Original
BUD000139,20240201,P005,BU002,REG004,DEP001,Revenue,1610362.98,1663017.56,Base,Original
BUD000140,20240201,P005,BU002,REG004,DEP006,COGS,766787.26,784119.41,Base,Original
BUD000141,20240201,P005,BU002,REG004,DEP005,OPEX,544422.68,558300.22,Base,Original
BUD000142,20240201,P005,BU002,REG004,DEP003,EBITDA,352077.93,330968.63,Base,Original
BUD000143,20240201,P005,BU002,REG004,DEP003,Cash Inflow,1634596.22,1614243.72,Base,Original
BUD000144,20240201,P005,BU002,REG004,DEP003,Cash Outflow,1374571.35,1428447.79,Base,Original
BUD000145,20240201,P009,BU003,REG001,DEP001,Revenue,6791965.03,7275195.33,Base,Original
BUD000146,20240201,P009,BU003,REG001,DEP006,COGS,2989065.24,2850863.26,Base,Original
BUD000147,20240201,P009,BU003,REG001,DEP005,OPEX,2125379.27,2221393.06,Base,Original
BUD000148,20240201,P009,BU003,REG001,DEP003,EBITDA,1856600.32,1833868.79,Base,Original
BUD000149,20240201,P009,BU003,REG001,DEP003,Cash Inflow,6078263.49,6611767.3,Base,Original
BUD000150,20240201,P009,BU003,REG001,DEP003,Cash Outflow,4642467.4,5183520.98,Base,Original
BUD000151,20240201,P009,BU003,REG002,DEP001,Revenue,6080812.65,5900366.67,Base,Original
BUD000152,20240201,P009,BU003,REG002,DEP006,COGS,2472292.31,2485423.76,Base,Original
BUD000153,20240201,P009,BU003,REG002,DEP005,OPEX,1702127.91,1814619.73,Base,Original
BUD000154,20240201,P009,BU003,REG002,DEP003,EBITDA,1754633.1,1573598.85,Base,Original
BUD000155,20240201,P009,BU003,REG002,DEP003,Cash Inflow,5722750.95,5758273.02,Base,Original
BUD000156,20240201,P009,BU003,REG002,DEP003,Cash Outflow,4063890.53,4475197.81,Base,Original
BUD000157,20240201,P009,BU003,REG003,DEP001,Revenue,3603532.48,3936033.74,Base,Original
BUD000158,20240201,P009,BU003,REG003,DEP006,COGS,1601944.83,1579520.36,Base,Original
BUD000159,20240201,P009,BU003,REG003,DEP005,OPEX,1186949.82,1214433.28,Base,Original
BUD000160,20240201,P009,BU003,REG003,DEP003,EBITDA,1145868.29,1115145.38,Base,Original
BUD000161,20240201,P009,BU003,REG003,DEP003,Cash Inflow,3368908.0,3703700.06,Base,Original
BUD000162,20240201,P009,BU003,REG003,DEP003,Cash Outflow,2700440.01,2892083.16,Base,Original
BUD000163,20240201,P009,BU003,REG004,DEP001,Revenue,1838825.68,1817837.2,Base,Original
BUD000164,20240201,P009,BU003,REG004,DEP006,COGS,757077.04,742876.03,Base,Original
BUD000165,20240201,P009,BU003,REG004,DEP005,OPEX,585717.05,637926.55,Base,Original
BUD000166,20240201,P009,BU003,REG004,DEP003,EBITDA,449762.7,442430.29,Base,Original
BUD000167,20240201,P009,BU003,REG004,DEP003,Cash Inflow,1663938.47,1772361.61,Base,Original
BUD000168,20240201,P009,BU003,REG004,DEP003,Cash Outflow,1280727.3,1402491.69,Base,Original
BUD000169,20240201,P013,BU004,REG001,DEP001,Revenue,5493207.77,6435425.03,Base,Original
BUD000170,20240201,P013,BU004,REG001,DEP006,COGS,2646807.34,2626110.17,Base,Original
BUD000171,20240201,P013,BU004,REG001,DEP005,OPEX,1840945.07,1985636.11,Base,Original
BUD000172,20240201,P013,BU004,REG001,DEP003,EBITDA,1662068.67,1786624.13,Base,Original
BUD000173,20240201,P013,BU004,REG001,DEP003,Cash Inflow,5282252.25,6080741.06,Base,Original
BUD000174,20240201,P013,BU004,REG001,DEP003,Cash Outflow,4378857.7,4629412.51,Base,Original
BUD000175,20240201,P013,BU004,REG002,DEP001,Revenue,4782740.09,5158563.43,Base,Original
BUD000176,20240201,P013,BU004,REG002,DEP006,COGS,2223445.08,2114737.2,Base,Original
BUD000177,20240201,P013,BU004,REG002,DEP005,OPEX,1531560.78,1669128.69,Base,Original
BUD000178,20240201,P013,BU004,REG002,DEP003,EBITDA,1443928.44,1420235.28,Base,Original
BUD000179,20240201,P013,BU004,REG002,DEP003,Cash Inflow,4777797.5,5131524.64,Base,Original
BUD000180,20240201,P013,BU004,REG002,DEP003,Cash Outflow,3442384.68,3830444.7,Base,Original
BUD000181,20240201,P013,BU004,REG003,DEP001,Revenue,2986976.51,3475232.4,Base,Original
BUD000182,20240201,P013,BU004,REG003,DEP006,COGS,1446734.39,1377581.36,Base,Original
BUD000183,20240201,P013,BU004,REG003,DEP005,OPEX,1014425.4,1107073.26,Base,Original
BUD000184,20240201,P013,BU004,REG003,DEP003,EBITDA,861463.08,957738.66,Base,Original
BUD000185,20240201,P013,BU004,REG003,DEP003,Cash Inflow,2854907.53,3252184.92,Base,Original
BUD000186,20240201,P013,BU004,REG003,DEP003,Cash Outflow,2453151.14,2545825.6,Base,Original
BUD000187,20240201,P013,BU004,REG004,DEP001,Revenue,1101919.28,1226976.86,Base,Original
BUD000188,20240201,P013,BU004,REG004,DEP006,COGS,476264.92,501139.92,Base,Original
BUD000189,20240201,P013,BU004,REG004,DEP005,OPEX,423480.79,456098.78,Base,Original
BUD000190,20240201,P013,BU004,REG004,DEP003,EBITDA,279224.56,290126.28,Base,Original
BUD000191,20240201,P013,BU004,REG004,DEP003,Cash Inflow,1001679.7,1141478.04,Base,Original
BUD000192,20240201,P013,BU004,REG004,DEP003,Cash Outflow,889628.51,979502.47,Base,Original
BUD000193,20240301,P001,BU001,REG001,DEP001,Revenue,8653278.22,9073434.38,Base,Original
BUD000194,20240301,P001,BU001,REG001,DEP006,COGS,4198905.52,4233592.82,Base,Original
BUD000195,20240301,P001,BU001,REG001,DEP002,OPEX,2858151.13,3024809.68,Base,Original
BUD000196,20240301,P001,BU001,REG001,DEP003,EBITDA,1937063.99,1906593.59,Base,Original
BUD000197,20240301,P001,BU001,REG001,DEP003,Cash Inflow,8220206.09,8568153.66,Base,Original
BUD000198,20240301,P001,BU001,REG001,DEP003,Cash Outflow,7035740.68,7341680.69,Base,Original
BUD000199,20240301,P001,BU001,REG002,DEP001,Revenue,5532513.57,5224529.82,Base,Original
BUD000200,20240301,P001,BU001,REG002,DEP006,COGS,2495008.89,2440998.85,Base,Original
BUD000201,20240301,P001,BU001,REG002,DEP002,OPEX,1720496.54,1870565.75,Base,Original
BUD000202,20240301,P001,BU001,REG002,DEP003,EBITDA,1192627.83,1099434.89,Base,Original
BUD000203,20240301,P001,BU001,REG002,DEP003,Cash Inflow,5145817.05,5163054.82,Base,Original
BUD000204,20240301,P001,BU001,REG002,DEP003,Cash Outflow,4010847.85,4262901.78,Base,Original
BUD000205,20240301,P001,BU001,REG003,DEP001,Revenue,4215549.97,4716824.79,Base,Original
BUD000206,20240301,P001,BU001,REG003,DEP006,COGS,1953488.76,2116425.5,Base,Original
BUD000207,20240301,P001,BU001,REG003,DEP002,OPEX,1343434.48,1447932.76,Base,Original
BUD000208,20240301,P001,BU001,REG003,DEP003,EBITDA,1073249.38,1066478.18,Base,Original
BUD000209,20240301,P001,BU001,REG003,DEP003,Cash Inflow,4020739.89,4377024.87,Base,Original
BUD000210,20240301,P001,BU001,REG003,DEP003,Cash Outflow,3330152.61,3529754.59,Base,Original
BUD000211,20240301,P001,BU001,REG004,DEP001,Revenue,1614129.24,1671862.65,Base,Original
BUD000212,20240301,P001,BU001,REG004,DEP006,COGS,690020.13,713427.36,Base,Original
BUD000213,20240301,P001,BU001,REG004,DEP002,OPEX,486721.69,504535.82,Base,Original
BUD000214,20240301,P001,BU001,REG004,DEP003,EBITDA,421753.14,406293.23,Base,Original
BUD000215,20240301,P001,BU001,REG004,DEP003,Cash Inflow,1579971.87,1630776.8,Base,Original
BUD000216,20240301,P001,BU001,REG004,DEP003,Cash Outflow,1220667.0,1273176.16,Base,Original
BUD000217,20240301,P005,BU002,REG001,DEP001,Revenue,7902234.39,8569379.84,Base,Original
BUD000218,20240301,P005,BU002,REG001,DEP006,COGS,4249932.22,3868554.08,Base,Original
BUD000219,20240301,P005,BU002,REG001,DEP005,OPEX,2844319.45,3050885.51,Base,Original
BUD000220,20240301,P005,BU002,REG001,DEP003,EBITDA,1651096.33,1697310.95,Base,Original
BUD000221,20240301,P005,BU002,REG001,DEP003,Cash Inflow,8004956.3,8356274.76,Base,Original
BUD000222,20240301,P005,BU002,REG001,DEP003,Cash Outflow,6429520.21,6914220.73,Base,Original
BUD000223,20240301,P005,BU002,REG002,DEP001,Revenue,5133389.68,5184630.25,Base,Original
BUD000224,20240301,P005,BU002,REG002,DEP006,COGS,2454569.78,2403694.96,Base,Original
BUD000225,20240301,P005,BU002,REG002,DEP005,OPEX,1584392.61,1740991.63,Base,Original
BUD000226,20240301,P005,BU002,REG002,DEP003,EBITDA,1097885.34,1049019.13,Base,Original
BUD000227,20240301,P005,BU002,REG002,DEP003,Cash Inflow,4963051.58,4752879.8,Base,Original
BUD000228,20240301,P005,BU002,REG002,DEP003,Cash Outflow,3764759.64,4058789.4,Base,Original
BUD000229,20240301,P005,BU002,REG003,DEP001,Revenue,4394834.64,4946953.3,Base,Original
BUD000230,20240301,P005,BU002,REG003,DEP006,COGS,2009744.72,2219564.14,Base,Original
BUD000231,20240301,P005,BU002,REG003,DEP005,OPEX,1699960.95,1792058.66,Base,Original
BUD000232,20240301,P005,BU002,REG003,DEP003,EBITDA,874580.13,883171.93,Base,Original
BUD000233,20240301,P005,BU002,REG003,DEP003,Cash Inflow,4021118.12,4632652.44,Base,Original
BUD000234,20240301,P005,BU002,REG003,DEP003,Cash Outflow,3760497.8,4011073.31,Base,Original
BUD000235,20240301,P005,BU002,REG004,DEP001,Revenue,2984939.03,3107630.29,Base,Original
BUD000236,20240301,P005,BU002,REG004,DEP006,COGS,1421186.66,1320080.08,Base,Original
BUD000237,20240301,P005,BU002,REG004,DEP005,OPEX,911634.64,972596.07,Base,Original
BUD000238,20240301,P005,BU002,REG004,DEP003,EBITDA,736241.71,721123.23,Base,Original
BUD000239,20240301,P005,BU002,REG004,DEP003,Cash Inflow,2899547.47,2881386.96,Base,Original
BUD000240,20240301,P005,BU002,REG004,DEP003,Cash Outflow,2184918.14,2343562.02,Base,Original
BUD000241,20240301,P009,BU003,REG001,DEP001,Revenue,8757817.18,9307233.25,Base,Original
BUD000242,20240301,P009,BU003,REG001,DEP006,COGS,4027928.16,3853102.02,Base,Original
BUD000243,20240301,P009,BU003,REG001,DEP005,OPEX,2821144.4,3087315.85,Base,Original
BUD000244,20240301,P009,BU003,REG001,DEP003,EBITDA,2242077.58,2262577.16,Base,Original
BUD000245,20240301,P009,BU003,REG001,DEP003,Cash Inflow,8742561.67,8844855.87,Base,Original
BUD000246,20240301,P009,BU003,REG001,DEP003,Cash Outflow,6748082.99,7116458.44,Base,Original
BUD000247,20240301,P009,BU003,REG002,DEP001,Revenue,4660666.82,4526381.21,Base,Original
BUD000248,20240301,P009,BU003,REG002,DEP006,COGS,1773299.08,1802262.44,Base,Original
BUD000249,20240301,P009,BU003,REG002,DEP005,OPEX,1273357.43,1364926.85,Base,Original
BUD000250,20240301,P009,BU003,REG002,DEP003,EBITDA,1399367.22,1267509.94,Base,Original
BUD000251,20240301,P009,BU003,REG002,DEP003,Cash Inflow,4188371.09,4291630.57,Base,Original
BUD000252,20240301,P009,BU003,REG002,DEP003,Cash Outflow,2894815.86,3252427.59,Base,Original
BUD000253,20240301,P009,BU003,REG003,DEP001,Revenue,4640472.02,5012333.72,Base,Original
BUD000254,20240301,P009,BU003,REG003,DEP006,COGS,1980789.9,1970457.26,Base,Original
BUD000255,20240301,P009,BU003,REG003,DEP005,OPEX,1499028.98,1561210.76,Base,Original
BUD000256,20240301,P009,BU003,REG003,DEP003,EBITDA,1483394.93,1534040.36,Base,Original
BUD000257,20240301,P009,BU003,REG003,DEP003,Cash Inflow,4295897.59,4900111.53,Base,Original
BUD000258,20240301,P009,BU003,REG003,DEP003,Cash Outflow,3292241.77,3719913.37,Base,Original
BUD000259,20240301,P009,BU003,REG004,DEP001,Revenue,2158218.61,2127834.24,Base,Original
BUD000260,20240301,P009,BU003,REG004,DEP006,COGS,839612.78,889010.09,Base,Original
BUD000261,20240301,P009,BU003,REG004,DEP005,OPEX,625864.39,667058.3,Base,Original
BUD000262,20240301,P009,BU003,REG004,DEP003,EBITDA,625140.91,625579.08,Base,Original
BUD000263,20240301,P009,BU003,REG004,DEP003,Cash Inflow,2084420.24,1974382.07,Base,Original
BUD000264,20240301,P009,BU003,REG004,DEP003,Cash Outflow,1500548.71,1571083.79,Base,Original
BUD000265,20240301,P013,BU004,REG001,DEP001,Revenue,6084542.74,6866291.42,Base,Original
BUD000266,20240301,P013,BU004,REG001,DEP006,COGS,3007561.77,2743037.79,Base,Original
BUD000267,20240301,P013,BU004,REG001,DEP005,OPEX,2267869.81,2371239.66,Base,Original
BUD000268,20240301,P013,BU004,REG001,DEP003,EBITDA,1687342.34,1831308.63,Base,Original
BUD000269,20240301,P013,BU004,REG001,DEP003,Cash Inflow,6015544.24,6644162.68,Base,Original
BUD000270,20240301,P013,BU004,REG001,DEP003,Cash Outflow,4828726.8,5071495.07,Base,Original
BUD000271,20240301,P013,BU004,REG002,DEP001,Revenue,4288733.04,4605917.27,Base,Original
BUD000272,20240301,P013,BU004,REG002,DEP006,COGS,1788069.57,1886030.78,Base,Original
BUD000273,20240301,P013,BU004,REG002,DEP005,OPEX,1464963.17,1550225.41,Base,Original
BUD000274,20240301,P013,BU004,REG002,DEP003,EBITDA,1182343.86,1243351.38,Base,Original
BUD000275,20240301,P013,BU004,REG002,DEP003,Cash Inflow,4393780.92,4646924.18,Base,Original
BUD000276,20240301,P013,BU004,REG002,DEP003,Cash Outflow,3252119.33,3559776.0,Base,Original
BUD000277,20240301,P013,BU004,REG003,DEP001,Revenue,1455746.48,1649963.02,Base,Original
BUD000278,20240301,P013,BU004,REG003,DEP006,COGS,681788.4,694643.19,Base,Original
